track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,0
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65
������������,YOASOBI,1,2023,4,12,356,16,143573775,35
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,148
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,60
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,11
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,38
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,61
Cheques,Shubh,1,2023,5,19,67,8,47956378,7
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,112
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,82
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,187
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,27
You Belong With Me (Taylor���s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47
Titi Me Pregunt�,Bad Bunny,1,2022,5,6,9037,42,1264310836,124
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,1
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611,71
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20
